epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,481.266,1.82158,1.40096,1.42524,0.06433,0.06059,0.02265,0.00862,2.88643,4.03509,1.65708,0.00079705,0.00079705,0.00079705
43,490.975,1.87404,1.33307,1.46203,0.06764,0.07386,0.02667,0.01005,2.93156,3.87745,1.67598,0.0007921,0.0007921,0.0007921
44,502.365,1.84657,1.3518,1.46308,0.0348,0.08492,0.02268,0.00943,2.97383,4.22784,1.68725,0.00078715,0.00078715,0.00078715
45,513.892,1.79138,1.32364,1.4133,0.034,0.0889,0.02101,0.0087,2.95178,4.32415,1.64454,0.0007822,0.0007822,0.0007822
46,524.551,1.8008,1.31255,1.45261,0.03613,0.10438,0.02307,0.00905,2.98476,4.30817,1.62922,0.00077725,0.00077725,0.00077725
47,535.205,1.81331,1.3194,1.4135,0.03906,0.09067,0.0241,0.00969,2.99829,4.42656,1.62363,0.0007723,0.0007723,0.0007723
48,545.023,1.82531,1.35208,1.45652,0.03665,0.08094,0.02285,0.00978,2.97421,4.59601,1.61704,0.00076735,0.00076735,0.00076735
49,555.606,1.7414,1.30055,1.39302,0.03287,0.07563,0.02045,0.00821,2.99851,4.782,1.63318,0.0007624,0.0007624,0.0007624
50,566.316,1.79739,1.33524,1.40587,0.02958,0.0628,0.01812,0.00674,3.06076,4.82568,1.6672,0.00075745,0.00075745,0.00075745
51,577.095,1.78567,1.29402,1.36865,0.03002,0.08801,0.01921,0.0074,2.98376,4.41481,1.64724,0.0007525,0.0007525,0.0007525
52,587.65,1.78213,1.26583,1.38764,0.04326,0.04909,0.0196,0.00718,3.01624,4.26098,1.66029,0.00074755,0.00074755,0.00074755
53,597.511,1.74552,1.25104,1.39272,0.0628,0.04467,0.02295,0.00861,3.01145,4.25478,1.66808,0.0007426,0.0007426,0.0007426
54,607.146,1.74198,1.25679,1.372,0.09762,0.04511,0.02927,0.01191,2.94615,4.1755,1.65607,0.00073765,0.00073765,0.00073765
55,617.849,1.75952,1.22826,1.39666,0.0357,0.10084,0.02378,0.00816,3.11733,4.39787,1.74028,0.0007327,0.0007327,0.0007327
56,629.201,1.74289,1.29387,1.3731,0.04042,0.07563,0.02555,0.00995,3.14849,4.8234,1.76092,0.00072775,0.00072775,0.00072775
57,639.793,1.77827,1.32272,1.38006,0.04087,0.06457,0.02466,0.01005,3.11222,5.05479,1.7948,0.0007228,0.0007228,0.0007228
58,650.407,1.74155,1.32823,1.39915,0.03579,0.06015,0.02089,0.00778,3.15359,5.02233,1.76905,0.00071785,0.00071785,0.00071785
59,661.82,1.7375,1.22533,1.39869,0.03584,0.0858,0.02622,0.01076,2.9642,4.43454,1.66768,0.0007129,0.0007129,0.0007129
60,673.323,1.67459,1.19429,1.35994,0.03728,0.11057,0.03082,0.01381,2.88517,4.10813,1.60183,0.00070795,0.00070795,0.00070795
61,684.799,1.71434,1.29425,1.37979,0.03722,0.07961,0.02248,0.00903,2.95227,4.68297,1.63455,0.000703,0.000703,0.000703
62,696.202,1.68617,1.20164,1.34946,0.04157,0.05838,0.02422,0.00994,2.96954,4.99078,1.69357,0.00069805,0.00069805,0.00069805
63,706.786,1.71235,1.18515,1.37108,0.043,0.06103,0.02605,0.01093,2.96612,5.01204,1.69156,0.0006931,0.0006931,0.0006931
64,719.013,1.65871,1.18155,1.34995,0.03717,0.06855,0.02171,0.00818,3.01661,5.01018,1.69105,0.00068815,0.00068815,0.00068815
65,730.385,1.67125,1.1839,1.37418,0.03894,0.0858,0.02315,0.00881,3.01228,4.87797,1.64489,0.0006832,0.0006832,0.0006832
66,745.817,1.63831,1.16918,1.32722,0.04142,0.09465,0.02525,0.00957,3.03964,4.72109,1.61394,0.00067825,0.00067825,0.00067825
67,761.539,1.71993,1.16741,1.34603,0.03822,0.09288,0.02368,0.00839,3.05176,4.67446,1.65298,0.0006733,0.0006733,0.0006733
68,772.191,1.63742,1.1142,1.32969,0.03675,0.07607,0.02209,0.00859,3.00794,4.77402,1.67578,0.00066835,0.00066835,0.00066835
69,783.167,1.70797,1.17723,1.35109,0.03769,0.07607,0.02359,0.0088,3.01704,4.61981,1.6645,0.0006634,0.0006634,0.0006634
70,793.746,1.66575,1.13794,1.31615,0.03449,0.08359,0.02341,0.00917,3.00063,4.34483,1.67912,0.00065845,0.00065845,0.00065845
71,805.234,1.58634,1.08942,1.35246,0.06104,0.04556,0.02336,0.00976,3.01803,4.40766,1.69775,0.0006535,0.0006535,0.0006535
72,816.748,1.6813,1.15646,1.31218,0.05223,0.05175,0.02377,0.00976,2.91962,4.451,1.68483,0.00064855,0.00064855,0.00064855
73,826.534,1.63855,1.12589,1.33087,0.03693,0.0774,0.0231,0.00914,2.98608,4.65675,1.69855,0.0006436,0.0006436,0.0006436
74,837.047,1.63158,1.13589,1.30016,0.04162,0.07519,0.02506,0.00952,2.99941,4.73972,1.6706,0.00063865,0.00063865,0.00063865
75,847.618,1.60743,1.1099,1.29985,0.04086,0.08005,0.02557,0.00983,2.9877,4.74186,1.67091,0.0006337,0.0006337,0.0006337
76,858.972,1.5778,1.07835,1.29443,0.03436,0.08271,0.02233,0.00806,3.038,4.74627,1.67472,0.00062875,0.00062875,0.00062875
77,870.349,1.53654,1.06175,1.28789,0.03378,0.08138,0.02221,0.00811,3.053,4.71211,1.68344,0.0006238,0.0006238,0.0006238
